state,date,sex,ethnicity,annual_birth,annual_death,age,population
Selangor,2022-01-01,both,overall,83658,32861,overall,7050300
Terengganu,2000-01-01,both,overall,24833,4570,overall,902600
Terengganu,2001-01-01,both,overall,24060,4866,overall,920000
Terengganu,2002-01-01,both,overall,23205,5051,overall,936600
Terengganu,2003-01-01,both,overall,22269,5346,overall,951400
Terengganu,2004-01-01,both,overall,22542,5244,overall,966600
Terengganu,2005-01-01,both,overall,21966,5368,overall,981400
Terengganu,2006-01-01,both,overall,21907,5407,overall,995900
Terengganu,2007-01-01,both,overall,22366,5563,overall,1010400
Terengganu,2008-01-01,both,overall,23339,5774,overall,1025200
Terengganu,2009-01-01,both,overall,23887,5978,overall,1040700
Terengganu,2010-01-01,both,overall,24262,5864,overall,1055400
Terengganu,2011-01-01,both,overall,24776,6209,overall,1079000
Terengganu,2012-01-01,both,overall,25698,6177,overall,1094100
Terengganu,2013-01-01,both,overall,25465,6424,overall,1113400
Terengganu,2014-01-01,both,overall,27013,6460,overall,1140400
Terengganu,2015-01-01,both,overall,27629,6715,overall,1161000
Terengganu,2016-01-01,both,overall,27521,6843,overall,1183400
Terengganu,2017-01-01,both,overall,27911,7048,overall,1208000
Terengganu,2018-01-01,both,overall,28242,7099,overall,1228300
Terengganu,2019-01-01,both,overall,27085,7341,overall,1244500
Terengganu,2020-01-01,both,overall,27177,6736,overall,1149400
Terengganu,2021-01-01,both,overall,26337,8469,overall,1170700
Terengganu,2022-01-01,both,overall,25304,8686,overall,1186600
Kuala Lumpur,2000-01-01,both,overall,29382,5492,overall,1416000
Kuala Lumpur,2001-01-01,both,overall,27211,5746,overall,1446200
Kuala Lumpur,2002-01-01,both,overall,25928,6058,overall,1474100
Kuala Lumpur,2003-01-01,both,overall,25173,5888,overall,1500500
Kuala Lumpur,2004-01-01,both,overall,24892,5750,overall,1526400
Kuala Lumpur,2005-01-01,both,overall,23544,5635,overall,1551800
Kuala Lumpur,2006-01-01,both,overall,24067,5791,overall,1577500
Kuala Lumpur,2007-01-01,both,overall,24936,6015,overall,1603300
Kuala Lumpur,2008-01-01,both,overall,25178,6164,overall,1628900
Kuala Lumpur,2009-01-01,both,overall,25870,6470,overall,1652800
Kuala Lumpur,2010-01-01,both,overall,24471,6465,overall,1674800
Kuala Lumpur,2011-01-01,both,overall,25525,6927,overall,1693000
Kuala Lumpur,2012-01-01,both,overall,26982,6996,overall,1702100
Kuala Lumpur,2013-01-01,both,overall,25333,7183,overall,1723400
Kuala Lumpur,2014-01-01,both,overall,27100,7647,overall,1737400
Kuala Lumpur,2015-01-01,both,overall,25789,7608,overall,1780400
Kuala Lumpur,2016-01-01,both,overall,25739,8077,overall,1789700
Kuala Lumpur,2017-01-01,both,overall,24732,8205,overall,1793200
Kuala Lumpur,2018-01-01,both,overall,24235,8485,overall,1790000
Kuala Lumpur,2019-01-01,both,overall,23921,8845,overall,1782500
Kuala Lumpur,2020-01-01,both,overall,23199,8334,overall,1982100
Kuala Lumpur,2021-01-01,both,overall,21046,13334,overall,1964000
Kuala Lumpur,2022-01-01,both,overall,19853,9962,overall,1961200
Labuan,2000-01-01,both,overall,1495,167,overall,76100
Labuan,2001-01-01,both,overall,1486,159,overall,77000
Labuan,2002-01-01,both,overall,1466,200,overall,77800
Labuan,2003-01-01,both,overall,1584,220,overall,78700
Labuan,2004-01-01,both,overall,1513,212,overall,79700
Labuan,2005-01-01,both,overall,1509,209,overall,80800
Labuan,2006-01-01,both,overall,1587,208,overall,82000
Labuan,2007-01-01,both,overall,1581,204,overall,83200
Labuan,2008-01-01,both,overall,1680,243,overall,84600
Labuan,2009-01-01,both,overall,1656,247,overall,86300
Labuan,2010-01-01,both,overall,1631,243,overall,88200
Labuan,2011-01-01,both,overall,1734,218,overall,89400
Labuan,2012-01-01,both,overall,1773,242,overall,90500
Labuan,2013-01-01,both,overall,1743,245,overall,91400
Labuan,2014-01-01,both,overall,1871,274,overall,93800
Labuan,2015-01-01,both,overall,1953,246,overall,95100
Labuan,2016-01-01,both,overall,1752,277,overall,96800
Labuan,2017-01-01,both,overall,1685,247,overall,97600
Labuan,2018-01-01,both,overall,1691,287,overall,99000
Labuan,2019-01-01,both,overall,1678,298,overall,99300
Labuan,2020-01-01,both,overall,1714,319,overall,95100
Labuan,2021-01-01,both,overall,1522,517,overall,96000
Labuan,2022-01-01,both,overall,1374,392,overall,96900
Putrajaya,2010-01-01,both,overall,2430,95,overall,73400
Putrajaya,2011-01-01,both,overall,2956,113,overall,77500
Putrajaya,2012-01-01,both,overall,3150,142,overall,78300
Putrajaya,2013-01-01,both,overall,2972,164,overall,79700
Putrajaya,2014-01-01,both,overall,3064,194,overall,80900
Putrajaya,2015-01-01,both,overall,2869,193,overall,83000
Putrajaya,2016-01-01,both,overall,2569,163,overall,84400
Putrajaya,2017-01-01,both,overall,2517,229,overall,87500
Putrajaya,2018-01-01,both,overall,2400,218,overall,97200
Putrajaya,2019-01-01,both,overall,2316,209,overall,103700
Putrajaya,2020-01-01,both,overall,2143,211,overall,109200
Putrajaya,2021-01-01,both,overall,2106,266,overall,115200
Putrajaya,2022-01-01,both,overall,1839,253,overall,117000
